자연어 쿼리,tagging된 자연어 쿼리,활용 여부,DB Query,,,,
what happened after the invasion of normandy?,what happened after the invasion of <LOCATION>?,X,nan,where did the battle of the LOCATION start?,80.69932461,,
who did james franco play on general hospital?,who did <PERSON> play on general hospital?,X,nan,who played PERSON on general hospital?,96.00077868,,
which party did lincoln belong to?,which party did <PERSON> belong to?,X,관련없는 내용,what party did PERSON belong to?,98.56514335,,
who plays saruman in lord of the rings?,who plays <PERSON> in lord of the rings?,X,nan,who does PERSON play in lord of the rings?,96.22483253,,
where is the best place to visit in the bahamas?,where is the best place to visit in the <LOCATION>?,X,nan,what are some places to visit in LOCATION?,96.40299082,,
what is the currency of mexico called?,what is the currency of <LOCATION> called?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,what is the currency of LOCATION called?,100,,
what teams did shaq play 4?,what teams did <ORGANIZATION> play <NUMBER>?,X,nan,what NUMBER teams did PERSON play for?,89.20264244,,
what currency does turkey accept?,what currency does <LOCATION> accept?,O,MATCH (l)-[:CURRENCY]-(x) WHERE l.name = <LOCATION> RETURN x.name,what currency does LOCATION accept?,99.9999702,,
who was vice president under lincoln?,who was vice president under <PERSON>?,X,nan,who was vice president under PERSON?,99.99995232,,
what state is the george washington university in?,what state is the <ORGANIZATION> in?,O,match (m)-[:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(n) where m.name=<LOCATION>  return n.name,what state is ORGANIZATION located in?,98.55624437,,
where did andreas vesalius die?,where did <PERSON> die?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where did PERSON die?,100.0000238,,
where did paul ryan attend college?,where did <PERSON> attend college?,O,match (m:Human)-[c:EDUCATED_AT]-(n) where m.name=<PERSON> return n.name,where did PERSON attend college?,100.0000238,,
who is ronaldo playing for now?,who is <PERSON> playing for <DATE>?,X,nan,who is PERSON playing for in DATE?,95.28816938,,
what color are the arizona cardinals uniforms?,what color are the <ORGANIZATION> uniforms?,X,관련없는 내용,what color are the ORGANIZATION?,88.3854866,,
when was george h.w. bush elected president?,when was <PERSON> elected president?,X,match (p:Human)-[r:POSITION_HELD]-(u) where p.name=<PERSON> return u.name.start_time,when was PERSON elected president?,100,,
where was emperor qin shi huang born?,where was emperor <PERSON> born?,X,match(p:Human)-[r:PLACE_OF_BIRTH]-(u:LOC) where p.name=<PERSON> return u.name,where was emperor PERSON born?,100,,
where was the first ford motor company located?,where was the <ORDINAL> <ORGANIZATION> located?,X,nan,what was the ORDINAL name of the ORGANIZATION?,86.04662418,,
where the seneca indians lived?,where the <ORGANIZATION> lived?,X,nan,where did ORGANIZATION live?,82.86783099,,
which country does irish language come from?,which country does <MISC> language come from?,X,MATCH (x)-[r:OFFICIAL_LANGUAGE]-(p) WHERE p.name = <MISC> RETURN x.name,what countries has MISC as their official language?,91.00348949,,
what did the harlem renaissance created?,what did the <LOCATION> renaissance created?,X,관련없는 내용,what was the capital of ancient LOCATION?,87.44962215,,
what movies gerard butler in?,what movies <PERSON> in?,X,nan,what movies is PERSON in?,96.46742344,,
where did mendeleev died?,where did <PERSON> died?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where did PERSON died?,100,,
where is glastonbury uk?,where is <LOCATION>?,X,관련없는 내용,where is LOCATION?,100.0000238,,
what language did ancient romans write in?,what language did ancient <MISC> write in?,X,nan,where is the MISC language derived from?,83.95042419,,
what team does diego forlan currently play for?,what team does <PERSON> <DATE> play for?,X,nan,what team does PERSON play for DATE?,95.84385753,,
what other movies is liam hemsworth in?,what other movies is <PERSON> in?,X,nan,what movies is PERSON in?,96.71726227,,
what to do downtown san francisco?,what to do downtown <LOCATION>?,X,no data,what to do in downtown LOCATION?,96.76481485,,
what kind of cancer did bob marley died from?,what kind of cancer did <PERSON> died from?,X,관련없는 내용,what type of cancer did PERSON died from?,97.99056053,,
what religion did jesus christ follow?,what religion did <PERSON> follow?,O,match (h)-[:RELIGION]-(r) where h.name=<PERSON> return r.name,what religion was PERSON?,94.78135109,,
who was luke skywalker played by?,who was <PERSON> played by?,X,관련없는 내용,who played PERSON?,89.16738033,,
who was the secretary of state when richard nixon was president?,who was the secretary of state when <PERSON> was president?,X,nan,who was president when PERSON was vice president?,96.15194798,,
who does the voice of kovu in lion king?,who does the voice of <LOCATION> in lion king?,X,관련없는 내용,who does the voice of PERSON in knight rider?,84.68283415,,
where did theodore roosevelt live before he became president?,where did <PERSON> live before he became president?,X,관련없는 내용,where was president PERSON born?,91.60582423,,
what year was tom brady drafted?,what <DURATION> was <PERSON> drafted?,X,nan,what DURATION was PERSON drafted?,100.0000358,,
what party is bloomberg affiliated with?,what party is <ORGANIZATION> affiliated with?,X,관련없는 내용,what party was PERSON affiliated with?,84.7299099,,
where does t boone pickens live?,where does t <PERSON> live?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where does PERSON live?,94.8876977,,
when did the mets win the pennant?,when did the <ORGANIZATION> win the pennant?,X,nan,when did the ORGANIZATION win the pennant?,100,,
where was saint paul from?,where was saint <PERSON> from?,X,관련없는 내용,where was saint PERSON from?,99.99997616,,
what is the capital city of germany now?,what is the capital city of <LOCATION> <DATE>?,X,match (cap)-[:CAPITAL_OF]-(n) where n.name=<LOCATION> return cap.name,what is the capital of LOCATION in DATE?,96.1702466,,
what countries does japan export to?,what countries does <LOCATION> export to?,X,no use,which countries does LOCATION export to?,98.92702103,,
where is arabic the official language?,where is <MISC> the official language?,X,MATCH (x)-[r:OFFICIAL_LANGUAGE]-(p) WHERE p.name = <MISC> RETURN x.name,where is MISC an official language?,97.38696814,,
what continent is syria located in?,what continent is <LOCATION> located in?,X,관련없는 내용,which continent is LOCATION located?,99.99998808,,
what events does stephanie rice compete in?,what events does <PERSON> compete in?,X,관련 없는 내용,what does PERSON compete in?,84.60714817,,
what happened to nelson mandela after he was released from jail?,what happened to <PERSON> after he was released from jail?,X,nan,what did PERSON go to prison for?,82.2845459,,
where did charlton heston live?,where did <PERSON> live?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where did PERSON live?,99.99998808,,
where did hurricane irene?,where did hurricane <PERSON>?,X,관련없는 내용,when did hurricane PERSON hit ct?,80.71340919,,
what region is thailand located in?,what region is <LOCATION> located in?,X,nan,what region is LOCATION in?,99.15342331,,
who was president when the us navy department was established?,who was president when the <ORGANIZATION> was established?,X,nan,who helped form the ORGANIZATION?,90.89560509,,
where to visit in orlando florida?,where to visit in <LOCATION>?,X,nan,where to visit in LOCATION?,100.0000238,,
who are all the american idol winners and runner ups?,who are all the <MISC> winners and runner ups?,X,관련없는 내용,who has won the most MISC?,86.02457047,,
what sports do they have in china?,what sports do they have in <LOCATION>?,X,nan,what sports do they do in LOCATION?,96.19965553,,
what was alexander graham bell known for?,what was <PERSON> known for?,X,관련없는 내용,what was PERSON known for?,100.0000119,,
what band did joe satriani play in?,what band did <PERSON> play in?,O,match (m)-[:PART_OF]-(n) where m.name = <PERSON> return n.name,what band does PERSON sing for?,83.33340883,,
what did mitch hedberg od on?,what did <PERSON> od on?,X,관련없는 내용,what drug did PERSON overdose on?,85.30366421,,
who did u.s. fight against in ww1?,who did <LOCATION> fight against in <NUMBER>?,X,nan,what battles did LOCATION win in NUMBER?,86.09804511,,
what season did jason priestley leave 90210?,what season did <PERSON> leave <NUMBER>?,X,nan,what season did PERSON won?,76.86572075,,
who wrote 2 timothy 4?,who wrote <NUMBER> <ORGANIZATION> <NUMBER>?,X,nan,who helped LOCATION in NUMBER?,79.22487855,,
which three countries share a land border with cambodia?,which <NUMBER> countries share a land border with <LOCATION>?,X,two countries 는 모호한 entity,what NUMBER countries share a border with the LOCATION?,97.63461351,,
what country was juan ponce de leon from?,what country was <PERSON> from?,X,관련없는 내용,what country was PERSON from?,99.99998808,,
where to go in florida for vacation?,where to go in <LOCATION> for vacation?,X,관련없는 내용,where to go in LOCATION for vacation?,99.99999404,,
what does the soviet star represent?,what does the <MISC> star represent?,X,관련없는 내용,what do the symbols in the LOCATION flag represent?,71.44153118,,
what college did steve nash play basketball for?,what college did <PERSON> play basketball for?,X,match(p:Human)-[r:EDUCATED_AT]-(u) where p.name=<PERSON> return u.name,what college did PERSON play basketball for?,99.99997616,,
who plays shao kahn?,who plays <PERSON>?,X,관련없는 내용,who plays PERSON?,99.99998212,,
what did douglas engelbart invent?,what did <PERSON> invent?,X,nan,what did PERSON invent?,100,,
where did chef chuck hughes go to school?,where did chef <PERSON> go to school?,O,match (m:Human)-[c:EDUCATED_AT]-(n) where m.name=<PERSON> return n.name,where did PERSON go to school?,82.27959871,,
who plays marvin eriksen?,who plays <PERSON>?,X,관련없는 내용,who plays PERSON?,99.99998212,,
what did james madison wrote?,what did <PERSON> wrote?,X,관련없는 내용,what did PERSON write?,97.50164747,,
where is fiat abarth made?,where is fiat <PERSON> made?,X,nan,where is ORGANIZATION cars made?,78.88334394,,
where was tommy steele born?,where was <PERSON> born?,O,match (m:Human)-[c:PLACE_OF_BIRTH]-(n) where m.name=<PERSON>  return n.name,where was PERSON born?,99.99998808,,
what does chad michael murray play in?,what does <PERSON> play in?,X,match (h:Human)-[:FILMOGRAPHY]-(f) where h.name=<PERSON> match (f)-[:HAS_PART]-(m) return m.name,what does PERSON play in?,99.99998808,,
what team does derek fisher play for 2012?,what team does <PERSON> play for <DATE>?,X,nan,what team does PERSON play for DATE?,100,,
what are some important events in ancient egypt?,what are some important events in ancient <LOCATION>?,X,관련없는 내용,what are historical places in LOCATION?,78.65720391,,
who was sworn into office when john f kennedy was assassinated?,who was sworn into office when <PERSON> was assassinated?,X,nan,who became president when PERSON was killed?,93.39958429,,
what date did the earthquake in christchurch happen?,what date did the earthquake in <LOCATION> happen?,X,nan,where was the earthquake in LOCATION DATE?,94.66611147,,
when did mcgee join the ncis team?,when did <PERSON> join the ncis team?,X,관련없는 내용,when did PERSON start on ncis?,89.89292979,,
where are you if you're in khartoum?,where are you if you're in <LOCATION>?,X,match (m)-[:LOCATED_IN_THE_ADMINISTRATIVE_TERRITORIAL_ENTITY]-(n) where m.name=<LOCATION>  return n.name,where are you if you re in LOCATION?,93.81657839,,
where did fred west work?,where did <PERSON> work?,X,nan,where did PERSON work?,100.0000238,,
where is university of auburn?,where is <ORGANIZATION>?,X,match (o)-[r:LOCATED_IN_THE_ADMINISTRATIVE_ENTITY]-(location) where o.name=<ORGANIZATION> return location.name,where is ORGANIZATION?,99.99997616,,
what countries are around egypt?,what countries are around <LOCATION>?,X,match(p:Continent)-[r:HAS_PART]-(u) where p.name=<LOCATION> return u.name,what countries are located in the LOCATION?,96.8180418,,
what did julia roberts won an oscar for?,what did <PERSON> won an oscar for?,X,nan,what did PERSON get an oscar for?,95.72395086,,
what year did mitt romney first run for president?,what <DURATION> did <PERSON> <ORDINAL> run for president?,X,nan,what DURATION did PERSON run for president?,93.34615469,,
who is engaged to john legend?,who is engaged to <PERSON>?,X,nan,who is PERSON engaged to?,98.08415174,,
what nestle owns?,what <ORGANIZATION> owns?,X,match (o)-[:OWNED_BY]-(h) where o.name=<ORGANIZATION> return h.name,who are the ORGANIZATION owned by?,96.82121277,,
